"id  模块_部件_螺丝/卡扣","名称","物品表id","模型名称","依赖部件","依赖螺丝/卡扣","备注",
"Id","Name","PropID","ModelName","DependParts","DependSnapFits",,
"1","Oil filter assembly",,"jiyoulvqingqizong","1_0,1_1",,,
"1_0","Oil drain bolt","1_0","fangyouluoshuan",,,,
"1_1","Oil filter","1_1","jiyoulvqinqi",,,,
,,,,,,,
,,,,,,,
"2","Turbocharger assembly",,"paiqiqiguanzongchen","2_1",,,
"2_1","Turbocharger assembly heat shield","2_1","paiqiqiguanzongchengerezhao","2_0",,,
"2_0","Turbocharger assembly 1","2_0","paiqiqiguanzongchen 1",,"2_2_0,2_2_1,2_2_2,2_2_3",,
"2_2_0","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4982",,,,
"2_2_1","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4983",,,,
"2_2_2","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4984",,,,
"2_2_3","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4985",,,,
,,,,,,,
,,,,,,,
"3","Engine oil cooler assembly",,"jiyoulengquqi","3_3",,,
,,,,,,," "
,,,,,,,
"3_1_0","No. 10 Hexagon Bolt","1001","-DC_Shell5048",,,,
"3_1_1","No. 10 Hexagon Bolt","1001","-DC_Shell5049",,,,
"3_2","Engine oil cooler assembly","3_2","Line007",,"3_1_0,3_1_1",,
"3_3","Engine oil cooler gasket","3_3","Line006","3_2",,,
,,,,,,,
,,,,,,,
"4","Water Pump Assembly",,"shuibeng","4_2",,,
"4_0_0","No. 10 Hexagon Bolt","1001","Object260",,,,
"4_0_1","No. 10 Hexagon Bolt","1001","Object261",,,,
"4_0_2","No. 10 Hexagon Bolt","1001","Object262",,,,
"4_1","Water Pump Assembly","4_1","shuibengzongchen",,"4_0_0,4_0_1,4_0_2",,
"4_2","Water pump housing gasket","4_2","shuibengketichundian","4_1",,,
,,,,,,,
,,,,,,,
"5","Throttle body assembly",,"jieqimenzongchen","5_1",,,
"5_0_0","No. 10 Hexagon Bolt","1001","Object263",,,,
"5_0_1","No. 10 Hexagon Bolt","1001","Object264",,,,
"5_0_2","No. 10 Hexagon Bolt","1001","Object265",,,,
"5_0_3","No. 10 Hexagon Bolt","1001","Object266",,,,
"5_1","Throttle body gasket","5_1","jieqimentichendian","5_2",,,
"5_2","Throttle body assembly","5_2","jiqimentizongchen",,"5_0_0,5_0_1,5_0_2,5_0_3",,
,,,,,,,
,,,,,,,
"6","Intake manifold",,"jinqiqiguan","6_2",,,
"6_0_0","No. 10 Hexagon Bolt","1002","jinqiqiguanzongchenluoshuan",,,,
"6_0_1","No. 10 Hexagon Bolt","1002","jinqiqiguanzongchenluoshuan001",,,,
"6_0_2","No. 10 Hexagon Bolt","1002","jinqiqiguanzongchenluoshuan002",,,,
"6_0_3","No. 10 Hexagon Bolt","1002","Object267",,,,
"6_2","Intake manifold gasket","6_2","jinqiqiguanchendian","6_1",,,
"6_1","Intake manifold assembly","6_1","jinqiqiguanzongchen",,"6_0_0,6_0_1,6_0_2,6_0_3",,
,,,,,,,
,,,,,,,
"7","Fuel injection pump assembly",,"ranyoubenshebeng","7_0",,,
"7_0","Valve tappet guide","7_0","qimentingzhushuidongdaoguan","7_2",,,
"7_1_0","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4974",,,,
"7_1_1","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4975",,,,
"7_2","Fuel injection pump assembly","7_2","ranyoubenshebengzongchen",,"7_1_0,7_1_1",,
,,,,,,,
,,,,,,,
"8","Water outlet assembly",,"chushuikou","8_0",,,
"8_0","Water Outlet gasket","8_0","chushuikouchundian","8_1",,,
"8_1","Water outlet assembly","8_1","chushuikouzongchen",,"8_2_0,8_2_1",,
"8_2_0","No. 10 Hexagon Bolt","1001","-DC_Shell379",,,,
"8_2_1","No. 10 Hexagon Bolt","1001","-DC_Shell496",,,,
,,,,,,,
,,,,,,,
"9","Vacuum pump assembly",,"zhenkongbeng","9_2",,,
"9_0_0","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4976",,,,
"9_0_1","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4977",,,,
"9_0_2","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4978",,,,
"9_0_3","No. 10 Hexagon Bolt","2_2_0","-DC_Shell4979",,,,
"9_1","Vacuum pump assembly","9_1","zhengkongbengzongchen",,"9_0_0,9_0_1,9_0_2,9_0_3",,
"9_2","Vacuum pump gasket","9_2","zhenkongbengchentuo","9_1",,,
,,,,,,,
,,,,,,,
