"id","步骤描述（目前不做手套）","步骤类型 （暂时不配表，与 RecordStepType 对应 更换的记录可以配置成安装类型，所有安装的记录都是安装上一个未损坏的物品","步骤参数（逗号分割）"
"ID","Title","Type","Params"
"1","排放机油：用大号棘轮扳手、15号套筒拆卸放油螺塞，排出机油","1","1_0"
"2","拆卸机油滤清器：用大号棘轮扳手、大号接杆和机油滤清器扳手拆卸机油滤清器","1","1_1"
,,"1",
"103","拆卸涡轮增压器：用中号棘轮扳手、中号接杆和10号套筒拆卸涡轮增压器的拆卸螺母（数量：4）","1","2_2_0,2_2_1,2_2_2,2_2_3"
"104","拆下排气歧管总成","1","2_0"
"105","拆下排气歧管总成隔热罩","1","2_1"
,,"1",
"4","拆卸发动机机油滤清器：用中号棘轮扳手、中号接杆和10号套筒拆卸发动机机油冷却器总成螺栓（数量：2）","1","3_1_0,3_1_1"
,,,
"6","取下发动机机油冷却器总成","1","3_2"
"7","取下发动机机油冷却器衬垫","1","3_3"
,,"1",
"8","拆卸水泵总成：用中号棘轮扳手、中号接杆和10号套筒拆卸水泵总成螺栓（数量：2）","1","4_0_0,4_0_1,4_0_2"
"9","取下水泵总成","1","4_1"
"10","取下水泵壳体衬垫","1","4_2"
,,"1",
"11","拆卸节气门体总成：用中号棘轮扳手、中号接杆和10号套筒拆卸节气门体总成螺栓（数量：4）","1","5_0_0,5_0_1,5_0_2,5_0_3"
"12","取下节气门体总成","1","5_2"
"13","取下节气门体衬垫","1","5_1"
,,"1",
"14","拆卸进气歧管总成：用中号棘轮扳手、中号接杆和10号套筒拆卸进气歧管总成螺栓（数量：4）","1","6_0_0,6_0_1,6_0_2,6_0_3"
"15","取下进气歧管总成","1","6_1"
"16","取下进气歧管垫","1","6_2"
,,"1",
"17","拆卸燃油泵总成：用中号棘轮扳手、中号接杆和10号套筒拆卸燃油泵总成螺栓（数量：2）","1","7_1_0,7_1_1"
"18","取下燃油泵总成","1","7_2"
"19","取下气门挺柱随洞导管","1","7_0"
,,"1",
"20","拆卸出水管总成：用中号棘轮扳手、中号接杆和10号套筒拆卸出水口总成螺栓（数量：2）","1","8_2_0,8_2_1"
"21","取下出水口总成","1","8_1"
"22","取下出水口衬垫","1","8_0"
,,"1",
"23","拆卸真空泵总成：用中号棘轮扳手、中号接杆和10号套筒拆卸真空泵总成螺栓（数量：4）","1","9_0_0,9_0_1,9_0_2,9_0_3"
"24","取下真空泵总成","1","9_1"
"25","取下真空泵衬垫","1","9_2"
,,"1",
"26","拆卸点火线圈：用中号棘轮扳手、中号接杆和10号套筒拆卸点火线圈固定螺栓（数量：4）","1","10_0_0,10_0_1,10_0_2,10_0_3"
"27","依次拔出1-4缸点火线圈","1","10_1_0,10_1_1,10_1_2,10_1_3"
"28","拆卸火花塞：用中号棘轮扳手、中号接杆和16号套筒拆卸火花塞螺栓，依次取出1-4缸火花塞","1","10_2_0,10_2_1,10_2_2,10_2_3"
,,"1",
"29","拆卸燃油导轨和喷油器：用中号棘轮扳手、中号接杆和10号套筒拆卸燃油导轨总成上部和下部螺栓（数量：4）","1","11_0_0,11_0_1,11_0_2,11_0_3,11_1_0,11_1_1,11_1_2,11_1_3"
,,,
"32","拆卸燃油导轨和喷射器总成","1","11_2"
,,"1",
"201","用中号棘轮扳手、中号接杆和10号套筒拆卸凸轮轴盖双头螺栓2（数量：2）","1","201_1_0,201_1_1"
"202","用中号棘轮扳手、中号接杆和10号套筒拆卸凸轮轴盖螺栓2（数量：18）；提示：拆卸螺栓2的方式从两边向中间以交错进行。","1","201_2_0,201_2_1,201_2_2,201_2_3,201_2_4,201_2_5,201_2_6,201_2_7,201_2_8,201_2_9,201_2_10,201_2_11,201_2_12,201_2_13,201_2_14,201_2_15,201_2_16,201_2_17"
"203","拆下凸轮轴盖总成","1","201_0"
,,"1",
"208","将EN-44226-1拆卸工具（2）安装到曲轴扭转减振器（1）上","2","203_0"
"209","用大号棘轮扳手、大号接杆和21号套筒拆卸曲轴扭转减振器螺栓","1","203_1"
"210","拆卸曲轴扭转减振器","1","203_2"
,,"1",
"215","用中号棘轮扳手、中号接杆和12号套筒拆卸发动机前盖螺栓（数量：1）","1","204_0_0"
,,,
