"id  模块_部件_螺丝/卡扣","名称","物品表id","模型名称","依赖部件","依赖螺丝/卡扣","备注",
"Id","Name","PropID","ModelName","DependParts","DependSnapFits",,
1,"蓄电池",1,"che_xudianchi","1_0",,,
"1_0","蓄电池",1,"che_xudianchi_keti","1_1,1_2,1_3",,,
"1_1","蓄电池固定片","1_1","che_XDC_ZJ_04",,"1_1_1,1_1_2",,
"1_1_1","10号六角螺栓","1_1_1","che_XDC_ZJ_10_DDLJLS_01",,,,
"1_1_2","10号六角螺栓","1_1_1","che_XDC_ZJ_10_DDLJLS_02",,,,
,,,,,,,
,,,,,,,
"1_2","蓄电池负极接口",,"Bone_FJ_01",,"1_2_1",,
"1_2_1","10号六角螺栓","1_2_1","che_xdc_FJ_LS",,,,
,,,,,,,
"1_3","蓄电池正极接口",,"Bone_ZJ_01",,"1_3_1",,
"1_3_1","10号螺母",,"che_xdc_ZJ_XSCT_LM",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"2_1_1","排水管卡箍",,"SHY_SG_JZ_01",,,,
"2_1","充配电排水管",,"Bone_SHY_SG_A_01",,"2_1_1",,
"2_2_1","进水管卡箍",,"SHY_SG_JZ_03",,,,
"2_2","充配电进水管",,"Bone_SHY_SG_B_01",,"2_2_1",,
"2_3_1","通气管卡箍",,"SHY_SG_JZ_04",,,,
"2_3","充配电通气管",,"Bone_SHY_SG_C_01",,"2_3_1",,
,,,,,,,
,,,,,,,
"2_4","充配电低压插接件",,"Bone_SHY_DY_JCJ_02",,,,
"2_5","空调ptc高压接插件",,"Bone_SHY_KT_PTC_01",,,,
,,,,,,,
,,,,,,,
,,,,,,,
"2_6","电动压缩机高压插接件",,"Bone_SHY_KT_YSJ_01",,,,
,,,,,,,
,,,,,,,
"2_7","交流充电高压接插件",,"Bone_JL_CD_JCJ_01",,,"也属于ID-5",
,,,,,,,
"2_99","低压正极输出线护盖","2_99","che_dy_ZJ_XSCT",,,,
"2_8","充配电总成低压正极输出线",,"Bone_ZJ_DY_05","2_99","2_8_1",,
"2_8_1","13号带垫螺母","2_8_1","che_dy_ZJ_LM_02",,,,
"2_9","充配电总成搭铁线（左）",,"Bone_SHY_DT_B_01",,"2_9_1",,
"2_10","充配电总成搭铁线（右）",,"Bone_SHY_DT_A_01",,"2_10_1",,
"2_10_1","13号六角螺栓-搭铁","2_10_1","SHY_DT_A_LS_01",,,,
"2_9_1","13号六角螺栓-搭铁","2_10_1","SHY_DT_B_LS_01",,,,
"2_11","充配电总成直流充电线维修盖板","2_11","SHY_SG_PIAN_B_1",,"2_11_1,2_11_2,2_11_3,2_11_4",,
"2_11_1","十字螺栓","2_11_1","SHY_SG_PIAN_B_LS_02",,,,
"2_11_2","十字螺栓","2_11_1","SHY_SG_PIAN_B_LS_01",,,,
"2_11_3","五角螺栓","2_11_3","SHY_SG_PIAN_B_LS_03",,,,
"2_11_4","十字螺栓","2_11_1","SHY_SG_PIAN_B_LS_04",,,,
"2_12","直流充电输入线束（正）",,"Bone_ZL_CDX_A_01","2_11","2_12_1,2_12_2",,
"2_13","直流充电输入线束（负）",,"Bone_ZL_CDX_B_01","2_11","2_13_1,2_13_2",,
,,,,,,,
"2_12_1","10号六角螺栓","2_12_1","ZLCDXS_01",,,,
"2_12_2","10号六角螺栓","2_12_1","ZLCDXS_02",,,,
"2_13_1","10号六角螺栓","2_12_1","ZLCDXS_03",,,,
"2_13_2","10号六角螺栓","2_12_1","ZLCDXS_04",,,,
,,,,,,,
,,,,,,,
"2_14","动力母线维修盖板","2_14","SHY_SG_PIAN_A_1",,"2_14_1,2_14_2,2_14_3,2_14_4,2_14_5,2_14_6",,
"2_14_1","五角螺栓","2_11_3","SHY_SG_PIAN_A_LS_01",,,,
"2_14_2","十字螺栓","2_11_1","SHY_SG_PIAN_A_LS_02",,,,
"2_14_3","十字螺栓","2_11_1","SHY_SG_PIAN_A_LS_03",,,,
"2_14_4","十字螺栓","2_11_1","SHY_SG_PIAN_A_LS_04",,,,
"2_14_5","十字螺栓","2_11_1","SHY_SG_PIAN_A_LS_05",,,,
"2_14_6","十字螺栓","2_11_1","SHY_SG_PIAN_A_LS_06",,,,
"2_15","电控甩线（正）",,"Bone_SHY_DKSX_B_01","2_14","2_15_1,2_15_2",,
