"jlcd","图片路径 （vr中用不上，暂时保留）","显示名称（不填就显示DAName)","自定义的（CloneObjs相对路径)"
"Id","ImgPath","Name","CustomClonePath"
,,,
,"SG_KK",,
"2_99","XDC_ZJG","低压正极输出线护盖",
"2_11","sanheyi_gai_02",,
"2_14","sanheyi_gai_01",,
2,"sanheyi_keti",,
"2_8_1","13hao_daidianluomu","13号带垫螺母","Screws/Nut_13"
"2_10_1","13hao_luoshuan","13号六角螺栓-搭铁","Screws/Screw_13_6_Bond"
"2_11_1","shizi_luoshuan","十字螺栓","Screws/Screw_0_10"
"3_2_1",,,"Screws/Screw_0_10_Box"
"2_12_1","13hao_luoshuan","10号六角螺栓","Screws/Screw_10_6"
"1_1_1",,,"Screws/Screw_10_6_2"
"1_2_1",,,"Screws/Screw_10_6_1.5"
"8_16_4",,"10号六角螺栓-长","Screws/Screw_10_6_L"
"14_1_1",,,"Screws/Screw_10_6_3A"
"2_0_1","13hao_luoshuan","13号六角螺栓-充配电","Screws/Screw_13_6_Charge"
,,,
"3_3","E5_19_GYWXKG_01",,
"3_2","ZYFSCWH_01",,
,,,
"2_11_3","LS_NWH","五角螺栓","Screws/Screw_0_5"
,,,
"4_1_1","18hao_luosi","18号六角螺栓","Screws/Screw_18_6"
"8_10_5",,,"Screws/Screw_18_6_7"
"8_12_4",,,"Screws/Screw_18_6_6"
"4_1_2","18hao_luosi","17号六角螺栓","Screws/Screw_17_6"
,,,
"4_0","DLDC",,
"4_1","qianxuangua_diban",,
,,,
5,"jlcd",,
"5_0_5","13hao_luoshuan","10号六角螺栓-搭铁 ","Screws/Screw_10_6_Bond"
,,,
6,"zlcd",,
"6_2","zlcdkzj",,
,,,
"8_0_1","LJLM","18号螺母","Screws/Nut_18"
"8_5_1",,,"Screws/Nut_18_0.4"
"8_5_2",,,"Screws/Nut_18_0.7"
,,,
"8_1","ddzkb",,
"8_1_1","13hao_luoshuan","13号六角螺栓","Screws/Screw_13_6"
"8_2","ddzkbzj",,
,,,
"8_3","lt",,
"8_4","lt",,
"8_3_1","LJLM","21号螺母","Screws/Nut_21"
"8_3_6","LJLM","32号螺母","Screws/Nut_32"
,,,
,,,
"8_5","phglg",,
"8_14","phglg",,
,,,
"8_6","zdz",,
"8_15","zdz",,
,,,
"8_10","dzzczj",,
"8_10_1","13hao_luoshuan","16号六角螺栓","Screws/Screw_16_6"
"8_11_1",,,"Screws/Screw_16_6_3"
"8_11",,,
"8_12",,,
,,,
"8_13","dlzc",,
,,,
1,"E5_19_xudianchi",,
"1_1","E5_19_xudianchi_guding",,
,,,
"12_0","BMS",,
,,,
"8_16","x"," ","E5_19_MotorCompressor_Clone"
,,,
"13_0","x",,
"13_4","x",,
"13_5","x",,
