"id","步骤描述（目前不做手套）","步骤类型 （暂时不配表，与 RecordStepType 对应 更换的记录可以配置成安装类型，所有安装的记录都是安装上一个未损坏的物品","步骤参数（逗号分割）",
"ID","Title","Type","Params",
1,"使用钳子拆卸排水管卡箍",1,"2_1_1",
2,"拔出排水管",1,"2_1",
,,1,,
3,"使用钳子拆卸进水管卡箍",1,"2_2_1",
4,"拔出进水管",1,"2_2",
,,1,,
5,"使用钳子拆卸排气管卡箍",1,"2_3_1",
6,"拔出排气管",1,"2_3",
,,1,,
7,"拆卸充配电总成低压线束插接件",1,"2_4",
,,1,,
8,"拔出电动压缩机高压插接件",1,"2_6",
,,1,,
9,"拔出交流充电高压插接件",1,"2_7",
,,,,
10,"拔出空调PTC高压插接件",1,"2_5",
,,1,,
11,"拆卸低压正极输出线护盖",1,"2_99",
12,"使用中号棘轮扳手、接杆和13号六角套筒拆卸充配电总成低压正极输出线螺母",1,"2_8_1",
13,"拆卸充配电总成低压正极输出线",1,"2_8",
,,1,,
14,"使用中号棘轮扳手和13号六角套筒拆卸充配电总成搭铁线（左）螺栓",1,"2_9_1",
15,"使用中号棘轮扳手和13号六角套筒拆卸充配电总成搭铁线（右）螺栓",1,"2_10_1",
16,"拆卸充配电总成搭铁线（左）",1,"2_9",
17,"拆卸充配电总成搭铁线（右）",1,"2_10",
,,,,
18,"使用十字螺栓刀拆卸充配电总成直流充电维修盖板三颗螺栓",1,"2_11_1,2_11_2,2_11_4",
19,"使用旋柄拆卸一颗五角螺栓",1,"2_11_3",
20,"拆卸直流充电维修盖板",1,"2_11",
,,,,
21,"使用中号棘轮扳手、接杆和10号六角套筒拆卸直流充电线束（正）固定螺栓",1,"2_12_1,2_12_2",
22,"使用中号棘轮扳手、接杆和10号六角套筒拆卸直流充电线束（负）固定螺栓",1,"2_13_1,2_13_2",
23,"拔出直流充电输入线束（正）",1,"2_12",
24,"拔出直流充电输入线束（负）",1,"2_13",
,,1,,
25,"使用十字螺栓刀拆卸充配电总成动力母线维修盖板五颗螺栓",1,"2_14_2,2_14_3,2_14_4,2_14_5,2_14_6",
26,"使用旋柄拆卸一颗五角螺栓",1,"2_14_1",
27,"拆卸动力母线维修盖板",1,"2_14",
,,1,,
28,"使用中号棘轮扳手、接杆和10号六角套筒拆卸电控甩线（正）固定螺栓",1,"2_15_1,2_15_2",
29,"使用中号棘轮扳手、接杆和10号六角套筒拆卸电控甩线（负）固定螺栓",1,"2_16_1,2_16_2",
30,"拔出电控甩线（正）",1,"2_15",
31,"拔出电控甩线（负）",1,"2_16",
,,1,,
32,"使用中号棘轮扳手、接杆和10号六角套筒拆卸动力电池直流母线（正）固定螺栓",1,"2_17_1,2_17_2",
33,"使用中号棘轮扳手、接杆和10号六角套筒拆卸动力电池直流母线（负）固定螺栓",1,"2_18_1,2_18_2",
34,"拔出动力电池直流母线（正）",1,"2_17",
35,"拔出动力电池直流母线（负）",1,"2_18",
,,1,,
36,"使用中号棘轮扳手、接杆和13号六角套筒拆卸充配电总成四颗螺栓",1,"2_0_1,2_0_2,2_0_3,2_0_4",
37,"拆卸充配电总成",1,"2_0",
,,,,
38,"装入新的充配电总成",2,"2_0",
,,,,
39,"使用中号棘轮扳手、接杆和13号六角套筒预紧充配电总成螺栓",2,"2_0_1,2_0_2,2_0_3,2_0_4",
40,"使用40Nm量程的扭力扳手、接杆和13号六角套筒紧固充配电总成螺栓至标准力矩15±1N.m",3,"2_0_1,2_0_2,2_0_3,2_0_4",
,,,,
41,"插入动力电池直流母线（正）至充配电总成",2,"2_17",
42,"使用中号棘轮扳手、接杆和10号六角套筒预紧动力电池直流母线（正）螺栓",2,"2_17_1,2_17_2",
43,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（正）螺栓至标准力矩9±1N.m",3,"2_17_1,2_17_2",
44,"插入动力电池直流母线（负）至充配电总成",2,"2_18",
45,"使用中号棘轮扳手、接杆和10号六角套筒预紧动力电池直流母线（负）螺栓",2,"2_18_1,2_18_2",
46,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（负）螺栓至标准力矩9±1N.m",3,"2_18_1,2_18_2",
,,,,
47,"插入电控甩线（正）至充配电总成",2,"2_15",
48,"使用中号棘轮扳手、接杆和10号六角套筒预紧电控甩线（正）螺栓",2,"2_15_1,2_15_2",
49,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（正）螺栓至标准力矩9±1N.m",3,"2_15_1,2_15_2",
50,"插入电控甩线（负）至充配电总成",2,"2_16",
51,"使用中号棘轮扳手、接杆和10号六角套筒预紧电控甩线（负）螺栓",2,"2_16_1,2_16_2",
52,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（负）螺栓至标准力矩9±1N.m",3,"2_16_1,2_16_2",
,,,,
53,"插入直流充电线束（正）至充配电总成",2,"2_12",
54,"使用中号棘轮扳手、接杆和10号六角套筒预紧直流充电线束（正）螺栓",2,"2_12_1,2_12_2",
55,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（正）螺栓至标准力矩9±1N.m",3,"2_12_1,2_12_2",
56,"插入直流充电线束（负）至充配电总成",2,"2_13",
57,"使用中号棘轮扳手、接杆和10号六角套筒预紧直流充电线束（负）螺栓",2,"2_13_1,2_13_2",
58,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（负）螺栓至标准力矩9±1N.m",3,"2_13_1,2_13_2",
,,,,
59,"装入充配电总成动力母线维修盖板",2,"2_14",
60,"使用十字螺栓刀紧固五颗螺栓",2,"2_14_2,2_14_3,2_14_4,2_14_5,2_14_6",
61,"使用旋柄紧固一颗五角螺栓",2,"2_14_1",
,,,,
62,"装入充配电总成直流充电维修盖板",2,"2_11",
63,"使用十字螺栓刀紧固三颗螺栓",2,"2_11_1,2_11_2,2_11_4",
64,"使用旋柄紧固一颗五角螺栓",2,"2_11_3",
,,,,
65,"安装充配电总成搭铁线（左）至充配电总成上",2,"2_9",
66,"使用中号棘轮扳手和13号六角套筒预紧搭铁线（左）螺栓",2,"2_9_1",
67,"使用40N.m量程的扭力扳手和13号六角套筒紧固搭铁线（左）螺栓至标准力矩15±1N.m",3,"2_9_1",
68,"安装充配电总成搭铁线（右）至充配电总成上",2,"2_10",
69,"使用中号棘轮扳手和13号六角套筒预紧搭铁线（右）螺栓",2,"2_10_1",
70,"使用40N.m量程的扭力扳手和13号六角套筒紧固搭铁线（右）螺栓至标准力矩15±1N.m",3,"2_10_1",
,,,,
71,"安装低压正极输出线至充配电总成上",2,"2_8",
72,"使用中号棘轮扳手、接杆和13号六角套筒预紧螺母",2,"2_8_1",
73,"使用40N.m量程的扭力扳手、接杆和13号六角套筒紧固螺母至标准力矩15±1N.m",3,"2_8_1",
74,"安装低压正极输出线护盖",2,"2_99",
,,,,
75,"插入交流充电口高压插接件",2,"2_7",
,,,,
76,"插入电动压缩机高压插接件",2,"2_6",
,,,,
77,"插入空调PTC高压插接件",2,"2_5",
,,,,
78,"插入充配电总成低压线束插接件",2,"2_4",
,,,,
79,"插入排水管",2,"2_1",
80,"使用钳子将排水管卡箍装入原位",2,"2_1_1",
,,,,
81,"插入进水管",2,"2_2",
82,"使用钳子将进水管卡箍装入原位",2,"2_2_1",
,,2,,
83,"插入排气管",2,"2_3",
84,"使用钳子将排气管卡箍装入原位",2,"2_3_1",
,,,,
85,"使用中号棘轮扳手、接杆和10号六角套筒拆卸蓄电池负极接口连接螺栓",1,"1_2_1",
86,"拆下蓄电池负极",1,"1_2",
,,,,
87,"使用中号棘轮扳手、接杆和10号六角套筒拆卸蓄电池正极接口连接螺母",1,"1_3_1",
88,"拆下蓄电池正极",1,"1_3",
,,,,
89,"使用中号棘轮扳手、接杆和10号六角套筒拆卸蓄电池紧固螺栓",1,"1_1_1,1_1_2",
90,"拆卸蓄电池固定片",1,"1_1",
,,,,
91,"拆下蓄电池",1,"1_0",
,,,,
92,"更换蓄电池",2,"1_0",
,,,,
93,"装入蓄电池固定片",2,"1_1",
94,"使用中号棘轮扳手、接杆和10号六角套筒预紧蓄电池紧固螺栓",2,"1_1_1,1_1_2",
95,"使用40N.m量程的扭力扳手、接杆和10号六角套筒紧固蓄电池紧固螺栓至标准力矩9±1N.m",3,"1_1_1,1_1_2",
,,,,
96,"装入蓄电池负极",2,"1_2",
97,"使用中号棘轮扳手、接杆和10号六角套筒预紧蓄电池负极接口螺栓",2,"1_2_1",
98,"使用40N.m量程的扭力扳手、接杆和10号六角套筒紧固蓄电池负极接口螺栓至标准力矩9±1N.m",3,"1_2_1",
,,,,
99,"装入蓄电池正极",2,"1_3","10号螺母"
100,"使用中号棘轮扳手、接杆和10号六角套筒预紧蓄电池正极接口螺母",2,"1_3_1",
101,"使用40N.m量程的扭力扳手、接杆和10号六角套筒紧固蓄电池正极接口螺母至标准力矩9±1N.m",3,"1_3_1",
,,,,
102,"打开中央扶手箱盖",1,"3_1",
103,"使用十字螺栓刀拆卸中央扶手箱储物盒四颗螺栓",1,"3_2_1,3_2_2,3_2_3,3_2_4",
104,"取出中央扶手箱储物盒",1,"3_2",
,,,,
105,"拔出维修开关，等待5分钟及以上才能进行下一步操作",1,"3_3",
,,,,
106,"装入维修开关",2,"3_3",
,,,,
107,"装入中央扶手箱储物盒",2,"3_2",
108,"使用十字螺栓紧固中央扶手箱储物盒四颗螺栓",2,"3_2_1,3_2_2,3_2_3,3_2_4",
109,"关闭中央扶手箱",2,"3_1",
,,,,
,,,,
,,,,
9001,"举升车辆至中位(适当位置)并进行锁止",5,1,
9002,"降下车辆至地面",5,0,
9011,"举升车辆至高位(适当位置)并进行锁止",5,2,
9012,"降下车辆至中位(适当位置)并进行锁止",5,1.5,
,,,,
,,,,
201,"使用大号棘轮扳手、接杆和17号六角套筒拆卸底盘下部隔板螺栓",1,"4_1_1,4_1_2",
202,"拆卸底盘下部隔板",1,"4_1",
,,,,
203,"拔下动力电池信号采样通信插接件",1,"4_2",
,,,,
204,"拔下动力电池母线高压插接件",1,"4_3",
,,,,
,,,,
205,"使用钳子拆卸冷却液出水管道卡箍",1,"4_4_1",
206,"拔出冷却管出水管道",1,"4_4",
,,,,
207,"使用钳子拆卸冷却液进水管道卡箍",1,"4_5_1",
208,"拔出冷却管进水管道",1,"4_5",
,,,,
209,"使用大号棘轮扳手、接杆和18号六角套筒拆卸动力电池托盘紧固螺栓",1,"4_0_1,4_0_2,4_0_3,4_0_4,4_0_5,4_0_6,4_0_7,4_0_8,4_0_9,4_0_10",
,"拆下动力电池",1,"4_0",
,,,,
,,,,
,"装入新的动力电池",2,"4_0",
,,,,
212,"使用大号棘轮扳手、接杆和18号六角套筒预紧动力电池托盘紧固螺栓",2,"4_0_1,4_0_2,4_0_3,4_0_4,4_0_5,4_0_6,4_0_7,4_0_8,4_0_9,4_0_10",
213,"使用200N.m扭力扳手、接杆和18号六角套筒紧固动力电池托盘紧固螺栓至标准力矩135±1N.m",3,"4_0_1,4_0_2,4_0_3,4_0_4,4_0_5,4_0_6,4_0_7,4_0_8,4_0_9,4_0_10",
,,,,
214,"插入冷却管进水管道",2,"4_5",
215,"用钳子夹住进水管卡箍装回原位置",2,"4_5_1",
,,,,
216,"插入冷却管出水管道",2,"4_4",
217,"用钳子夹住出水管卡箍装回原位置",2,"4_4_1",
,,,,
218,"安装动力电池直流母线高压插接件",2,"4_3",
,,,,
219,"安装动力电池信号采样通信插接件",2,"4_2",
,,,,
220,"安装底盘下部隔板",2,"4_1",
221,"使用大号棘轮扳手、接杆和17号六角套筒预紧动力电池托盘紧固螺栓",2,"4_1_1,4_1_2",
222,"使用200N.m扭力扳手、接杆和17号六角套筒紧底盘下部隔板至标准力矩110±1N.m",3,"4_1_1,4_1_2",
,,,,
,,,,
,,1,,
225,"拔出前舱交流充电低压插接件",1,"5_1",
,,1,,
227,"拔出直流充电低压插接件",1,"6_1",
,,1,,
228,"用中号棘轮扳手、接杆和10号六角套筒拆卸交流充电线束搭铁2颗螺栓",1,"5_0_5,5_0_6",
229,"用中号棘轮扳手、接杆和10号六角套筒拆卸直流充电线束搭铁2颗螺栓",1,"6_0_7,6_0_8",
,,1,,
231,"用中号棘轮扳手、接杆和10号六角套筒拆卸直流充电口4颗固定螺栓",1,"6_0_1,6_0_2,6_0_3,6_0_4",
232,"用中号棘轮扳手、接杆和10号六角套筒拆卸充电口上的安装支架2颗固定螺栓",1,"6_2_1,6_2_2",
