"步骤组ID","步骤ID","组描述（不填则使用StepID的描述）","权重",,"是否触电"
"StepGroupID","StepIDs","Description","Weight",,
"1","1,2","拆卸充配电总成排水管","2",,
"2","3,4","拆卸充配电总成进水管","1.5",,
"3","5,6","拆卸充配电总成通气管","1.5",,
"4","7","拆卸充配电总成低压插接件","1.5",,
"5","8","拆卸压缩机高压插接件","1.5",,1
"6","9","拆卸交流充电高压插接件","1.5",,1
"7","11,12,13","拆卸低压正极输出线","1.5",,
"8","14,15,16,17","拆卸充配电总成搭铁线","1.5",,
"9","18,19,20","拆卸直流充电维修盖板","1.5",,1
"10","21,22,23,24","拆卸直流充电输入线束","1.5",,1
"11","25,26,27","拆卸动力母线维修盖板","1.5",,1
"12","28,29,30,31","拆卸电控甩线","1.5",,1
"13","32,33,34,35","拆卸动力电池直流母线","1.5",,1
"14","36,37","拆卸充配电总成","1.5",,0
"15","38","更换充配电总成","1.5",,0
"16","39,40","安装充配电总成螺栓","1.5",,0
"17","41,42,43,44,45,46","安装动力电池直流母线","1.5",,1
"18","47,48,49,50,51,52","安装电控甩线","1.5",,1
"19","53,54,55,56,57,58","安装直流充电输入线束","1.5",,1
"20","59,60,61","安装动力母线维修盖板","1.5",,1
"21","62,63,64","安装直流充电维修盖板","1.5",,1
"22","65,66,67,68,69,70","安装充配电总成搭铁线","1.5",,
"23","71,72,73,74","安装低压正极输出线","1.5",,
"24","75","安装交流充电高压插接件","1.5",,1
"25","76","安装压缩机高压插接件","1.5",,1
"26","77","安装PTC高压插接件","1.5",,1
"27","78","安装充配电总成低压线束插接件","1.5",,0
"28","79,80","安装充配电总成进水管","1.5",,0
"29","81,82","安装充配电总成排水管","1.5",,0
"30","83,84","安装充配电总成排气管","1.5",,0
"31","10","拆卸PTC高压插接件","1.5",,1
,,,,,
,,,,,
"32","85,86","拆卸蓄电池负极","1.5",,
"33","87,88","拆卸蓄电池正极","1.5",,
"34","89,90","拆卸蓄电池固定片","1.5",,
"35","91","拆卸蓄电池","1.5",,
"36","92","更换蓄电池","1.5",,
"37","93,94,95","安装蓄电池固定片","1.5",,
"38","96,97,98","安装蓄电池负极接口","1.5",,
"39","99,100,101","安装蓄电池正极接口","1.5",,
,,,,,
"40","102,103,104","拆卸中央扶手箱","1.5",,
"41","105","拆卸维修开关","1.5",,1
"42","106","安装维修开关","1.5",,1
"43","107,108,109","安装中央扶手箱","1.5",,
,,,,,
,,,,,
"44","9001","举升车辆","0.4",,
"45","9002","降下车辆","0.4",,
"1044","9011","举升车辆","0.4",,
"1045","9012","降下车辆","0.4",,
,,,,,
,"201,202","拆卸底盘下部隔板","1.5",,
"47","203","拆卸动力电池信号采样通信插接件","1.5",,
"48","204","拆卸动力电池母线高压插接件","1.5",,1
"49","205,206","拆卸冷却管出水管","1.5",,
"50","207,208","拆卸冷却管进水管","1.5",,
"51","8001,8002,209,8003","使用动力电池举升装置拆卸动力电池","1.5",,1
"52","8002,212,213,8003,8004","使用动力电池举升装置更换动力电池","1.5",,1
"54","214,215","安装冷却管进水管道","1.5",,
"55","216,217","安装冷却管出水管道","1.5",,
"56","218","安装动力电池直流母线高压插接件","1.5",,1
"57","219","安装动力电池信号采样通信插接件","1.5",,
,"220,221,222","安装底盘下部隔板","1.5",,
,,,,,
,,,,,
"60","225","拆卸交流充电低压插接件","1.5",,
"61","227","拆卸直流充电插接件","1.5",,
"62","228","拆卸交流充电搭铁螺栓","1.5",,
"70","229","拆卸直流充电搭铁螺栓","1.5",,
"63","235,236","拆卸交流充电口","1.5",,
"64","231,232,233,234","拆卸直流充电口","1.5",,
"65","241,242,243,244,245","更换直流充电口","1.5",,
"66","238,239,240","更换交流充电口","1.5",,
"67","248,249","安装直流充电搭铁螺栓","1.5",,
"68","250","安装直流充电插接件","1.5",,
"69","251","安装交流充电低压插接件","1.5",,
"71","246,247","安装交流充电搭铁螺栓","1.5",,
,,,,,
,,,,,
"72","252,253,254,255","拆卸电动真空泵","1.5",,
"73","257","拆卸车辆左前轮胎螺栓","1",,
"1074","258","拆卸车辆左前轮胎","1",,
"1075","259","拆卸车辆左半轴锁紧螺母","1",,
"74","264","拆卸左下控制臂连接球头","1.5",,
"75","266,267","拆卸平衡杆左侧拉杆","1.5",,
"76","270","拆卸左前半轴","1.5",,
"59","260","拆卸车辆右前轮胎螺栓","1",,
"1059","261","拆卸车辆右前轮胎","1",,
"1060","262","拆卸车辆右半轴锁紧螺母","1",,
"77","272","拆卸右下控制臂连接球头","1.5",,
"78","274,275","拆卸平衡杆右侧拉杆","1.5",,
"79","278","拆卸右前半轴","1.5",,
"80","280,281,282,283","排放冷却液","1.5",,
,"283,284","拆卸电动水泵","1.5",,
"82","286","分离电动压缩机","1.5",,1
1081,"1282,1283,1284","拆卸动力总成左支架","1.5",,
1082,"1285,1286,1287","拆卸动力总成右支架","1.5",,
"83","288,289,290","拆卸动力总成后支架","1.5",,
"84","297","拆卸动力总成","1.5",,
"85","299","更换动力总成","1.5",,
"86","308,309,310,311,312","安装动力总成后侧支架","1.5",,
"1087","1313,1314,1315,1316,1317","安装动力总成右侧支架","1.5",,
"1088","1318,1319,1320,1321,1322","安装动力总成左侧支架","1.5",,
"87","313,314","紧固电动压缩机","1.5",,1
,"316,317","安装电动水泵","1.5",,
"89","318,319,320,321","安装电机水管","1.5",,
"90","322","安装右前半轴","1.5",,
"91","325,326","安装右前下摆臂连接球头","1.5",,
"92","328,329,330","安装平衡杆右侧拉杆","1.5",,
"88","351,352,353,354","安装车辆右前轮胎","2",,
"93","335","安装左前半轴","1.5",,
"94","338,339","安装左前下摆臂连接球头","1.5",,
"95","341,342,343","安装平衡杆左侧拉杆","1.5",,
"96","345,346,347,348","安装车辆左前轮胎","2",,
"97","357,358,359,360,361,362","安装电动真空泵","1.5",,
"1098","349,355","紧固车辆轮胎","1",,
,,,,,
,,,,,
"99","363","拆卸电池管理器上的动力电池采样线插接件(BMC01)","1.5",,
"100","364","拆卸电池管理器上的整车低压线束插接件(BMC02)","1.5",,
"101","365,366","拆卸电池管理器","1.5",,
"102","367","安装电池管理器","1.5",,
"103",368,"安装电池管理器上的动力电池采样线插件(BMC01)","1.5",,
"104",369,"安装电池管理器上的整车低压线束插接件(BMC02)","1.5",,
"105","370,371","安装电池管理器螺栓","1.5",,
,,,,,
,,,,,
"106","372","拆卸PTC低压插接件","1.5",,
"107","373,374,375,376","拆卸PTC暖风水管","1.5",,
"108","377,378","拆卸PTC","1.5",,
"109","379,380,381","更换PTC","1.5",,
"110","382,383,384,385","安装PTC暖风水管","1.5",,
"111","386","安装PTC低压插接件","1.5",,
112,"387,388,389","拆卸蓄电池支架","1.5",,
113,"390,391,392,393","安装蓄电池支架","1.5",,
,,,,,
,,,,,
114,"394","拆卸压缩机低压插接件","1.5",,
115,"395,396,397,398","拆卸空调压缩机制冷管道","1.5",,
116,"286,287","拆卸电动压缩机","1.5",,
117,"1312,313,314","安装电动压缩机","1.5",,
118,"399,400,401,402,403,404","安装空调压缩机制冷管道","1.5",,
119,"405","安装压缩机低压插接件","1.5",,
,,,,,
,,,,,
,,,,,
,,,,,
"1001",9004,"安全防护套装的穿戴","1.5",,
,,,,,
1002,"9005","穿戴绝缘手套","0.2",,
1003,"9006","穿戴耐磨手套","0.2",,
